"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
40,"N",9,"W",1,0,-1,0.999708242152798,-1.00029184299469,1457,54014.27834,-183633207.7
40,"N",15,"E",2,0,-2,1.41338822611233,-1.41503938058208,1468,55281.58083,-190847259.3
40,"N",8,"W",2,0,-2,1.41338822611233,-1.41503938058208,1455,53905.25074,-181377155.7
40,"N",14,"E",10,0,-10,3.15303931831238,-3.17154307018041,1466,55411.69054,-192004986.1
40,"N",7,"W",3,0,-3,1.73053434662654,-1.73356859738041,1453,54210.13528,-183314975.7
40,"N",13,"E",3,0,-3,1.73053434662654,-1.73356859738041,1464,55621.54655,-193234795.7
40,"N",6,"W",3,0,-3,1.73053434662654,-1.73356859738041,1451,54055.86882,-182137798
40,"N",12,"E",1,0,-1,0.999708242152798,-1.00029184299469,1462,55156.65349,-190530092.4
40,"N",5,"W",2,0,-2,1.41338822611233,-1.41503938058208,1449,54566.27814,-186772067.4
40,"N",11,"E",5,0,-5,2.23280411942157,-2.23933660660537,1460,56039.44448,-198027542.6
40,"N",10,"E",2,0,-2,1.41338822611233,-1.41503938058208,1458,53903.59857,-179551624.8
40,"N",4,"W",5,0,-5,2.23280411942157,-2.23933660660537,1447,54220.71779,-182544969
40,"N",9,"E",8,0,-8,2.82181864112619,-2.83505108492983,1456,54111.83056,-186637079.2
40,"N",8,"E",1,0,-1,0.999708242152798,-1.00029184299469,1454,55196.65574,-184895658.5
40,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208,1445,54151.75087,-180622576.7
40,"N",2,"W",6,0,-6,2.44519866256641,-2.45378835341852,1443,54773.73656,-186631443.3
40,"N",7,"E",1,0,-1,0.999708242152798,-1.00029184299469,1452,54455.70465,-185078554.2
40,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208,1441,55951.27618,-197032309.6
40,"N",6,"E",2,0,-2,1.41338822611233,-1.41503938058208,1450,54176.91282,-183472768.1
40,"N",1,"E",3,0,-3,1.73053434662654,-1.73356859738041,1440,57966.17041,-208496554.6
40,"N",5,"E",3,0,-3,1.73053434662654,-1.73356859738041,1448,54581.45967,-185926968.6
40,"N",3,"E",4,0,-4,1.99766491455695,-2.00233781494187,1444,54642.09051,-185785829
40,"N",2,"E",3,0,-3,1.73053434662654,-1.73356859738041,1442,54817.13819,-188717916.7
40,"N",4,"E",5,0,-5,2.23280411942157,-2.23933660660537,1446,54305.00718,-185612530
40,"N",18,"E",4,0,-4,1.99766491455695,-2.00233781494187,1474,52176.67821,-133513093
40,"N",19,"W",0,0,0,0,NA,1477,18503.44756,-16016568.2
40,"N",19,"E",2,0,-2,1.41338822611233,-1.41503938058208,1476,34581.12852,-54177755.81
39,"N",19,"W",0,0,0,0,NA,1439,55090.05789,-154217562.8
39,"N",18,"W",1,3,2,0.999708242152798,2.00058368598937,1437,55143.3508,-190029193.6
39,"N",17,"W",2,0,-2,1.41338822611233,-1.41503938058208,1435,54750.83737,-187753619.1
39,"N",16,"W",2,0,-2,1.41338822611233,-1.41503938058208,1433,54807.45305,-187227759.1
39,"N",15,"W",5,0,-5,2.23280411942157,-2.23933660660537,1431,55697.49178,-193270226.6
39,"N",14,"W",2,0,-2,1.41338822611233,-1.41503938058208,1429,54466.85741,-185462752.1
39,"N",13,"W",4,0,-4,1.99766491455695,-2.00233781494187,1427,54599.04428,-187826725.2
39,"N",12,"W",6,0,-6,2.44519866256641,-2.45378835341852,1425,54638.62596,-185971368.3
39,"N",11,"W",6,0,-6,2.44519866256641,-2.45378835341852,1423,55169.65163,-190498820.7
39,"N",10,"W",2,0,-2,1.41338822611233,-1.41503938058208,1421,54695.32013,-186161890.8
39,"N",9,"W",4,0,-4,1.99766491455695,-2.00233781494187,1419,54937.63358,-189724346.5
39,"N",8,"W",4,0,-4,1.99766491455695,-2.00233781494187,1417,54930.23957,-187820679
39,"N",18,"E",4,0,-4,1.99766491455695,-2.00233781494187,1436,55705.09286,-194227604
39,"N",16,"E",1,0,-1,0.999708242152798,-1.00029184299469,1432,55504.45473,-192997290
39,"N",19,"E",4,0,-4,1.99766491455695,-2.00233781494187,1438,50296.02739,-110203693.5
39,"N",17,"E",2,0,-2,1.41338822611233,-1.41503938058208,1434,54783.49171,-187164013.9
39,"N",7,"W",6,0,-6,2.44519866256641,-2.45378835341852,1415,54864.52978,-187707084.9
39,"N",15,"E",4,0,-4,1.99766491455695,-2.00233781494187,1430,55352.59052,-191009162.2
39,"N",6,"W",4,0,-4,1.99766491455695,-2.00233781494187,1413,55114.23403,-189396542.8
39,"N",10,"E",9,0,-9,2.99211332066272,-3.0079074672234,1420,54663.6415,-187631054.6
39,"N",14,"E",6,0,-6,2.44519866256641,-2.45378835341852,1428,55329.0228,-191339176.7
39,"N",9,"E",2,0,-2,1.41338822611233,-1.41503938058208,1418,54332.76353,-181604074.7
39,"N",5,"W",3,0,-3,1.73053434662654,-1.73356859738041,1411,55254.64933,-190879136.1
39,"N",13,"E",7,0,-7,2.64034314095416,-2.65117055863821,1426,55283.25203,-190317676.8
39,"N",11,"E",5,0,-5,2.23280411942157,-2.23933660660537,1422,56312.80588,-191649538.7
39,"N",4,"W",6,0,-6,2.44519866256641,-2.45378835341852,1409,55043.18389,-190400778.7
