Only_Coords_Specimens_CoordinateTableToPoint.OID,Only_Coords_Specimens_CoordinateTableToPoint.catalogNumber,Only_Coords_Specimens_CoordinateTableToPoint.class,Only_Coords_Specimens_CoordinateTableToPoint.order_,Only_Coords_Specimens_CoordinateTableToPoint.family,Only_Coords_Specimens_CoordinateTableToPoint.scientificName,Only_Coords_Specimens_CoordinateTableToPoint.taxonID,Only_Coords_Specimens_CoordinateTableToPoint.scientificNameAuthorship,Only_Coords_Specimens_CoordinateTableToPoint.genus,Only_Coords_Specimens_CoordinateTableToPoint.specificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.infraspecificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.taxonRank,Only_Coords_Specimens_CoordinateTableToPoint.identifiedBy,Only_Coords_Specimens_CoordinateTableToPoint.dateIdentified,Only_Coords_Specimens_CoordinateTableToPoint.collectedBy,Only_Coords_Specimens_CoordinateTableToPoint.recordNumber,Only_Coords_Specimens_CoordinateTableToPoint.eventDate,Only_Coords_Specimens_CoordinateTableToPoint.year,Only_Coords_Specimens_CoordinateTableToPoint.month,Only_Coords_Specimens_CoordinateTableToPoint.day,Only_Coords_Specimens_CoordinateTableToPoint.startDayOfYear,Only_Coords_Specimens_CoordinateTableToPoint.verbatimEventDate,Only_Coords_Specimens_CoordinateTableToPoint.occurrenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.habitat,Only_Coords_Specimens_CoordinateTableToPoint.informationWithheld,Only_Coords_Specimens_CoordinateTableToPoint.county,Only_Coords_Specimens_CoordinateTableToPoint.locality,Only_Coords_Specimens_CoordinateTableToPoint.decimalLatitude,Only_Coords_Specimens_CoordinateTableToPoint.decimalLongitude,Only_Coords_Specimens_CoordinateTableToPoint.geodeticDatum,Only_Coords_Specimens_CoordinateTableToPoint.coordinateUncertaintyInMeters,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude_D,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude_D,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceProtocol,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceSources,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.minimumElevationInMeters,Only_Coords_Specimens_CoordinateTableToPoint.verbatimElevation,Only_Coords_Specimens_CoordinateTableToPoint.month_fctr,Only_Coords_Specimens_CoordinateTableToPoint.recordedBy_og,Only_Coords_Specimens_CoordinateTableToPoint.coll_gr,Only_Coords_Specimens_CoordinateTableToPoint.DDLat,Only_Coords_Specimens_CoordinateTableToPoint.DDLon,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.OBJECTID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.Join_Count,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TARGET_FID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.AREA,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.PERIMETER,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_I,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DTR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWP,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.RNG,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR_ALPHA
391,SUWS011414,Equisetopsida,Malpighiales,Violaceae,Viola macloskeyi subsp. pallens,6943,(Banks ex Ging.) M.S.Baker,Viola,macloskeyi,pallens,subsp.,,,"Castle, R.",93-122,1993-05-25,1993,5,25,145,1993-05-25,,Growing on shore of lake.,NA,Douglas,Brule. SE of Brule near Rush Lake,46.48917,-91.55495,NA,1000,46.489170 N, 91.554950 W,46.48917,-91.55495,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Castle, R.","Castle, R.",46.48917,-91.55495,391,1,391,89686608.73,37997.96554,77,76,24610,2,46,10,W
392,SUWS011415,Equisetopsida,Malpighiales,Violaceae,Viola macloskeyi subsp. pallens,6943,(Banks ex Ging.) M.S.Baker,Viola,macloskeyi,pallens,subsp.,,,Brashier,12b,1964-06-01,1964,6,1,153,1964-06-01,,Moist area with dark black soil.,NA,Douglas,Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.48986,-92.18414,392,1,392,92130815.8,38625.8977,71,70,24615,2,46,15,W
393,SUWS011420,Equisetopsida,Malpighiales,Violaceae,Viola sororia,5404,Willd.,Viola,sororia,,,,,"Thomson, John W., Jr.",5032,1942-06-12,1942,6,12,163,1942-06-12,,"Clay soil, wet field.",NA,Douglas,"Superior. S of 22nd St and Weeks Ave., Superior",46.72459,-92.09196,NA,462,46.724590 N, 92.091960 W,46.72459,-92.09196,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.72459,-92.09196,393,1,393,77718721.67,35378.21444,29,28,24914,2,49,14,W
394,SUWS011420b,Equisetopsida,Malpighiales,Violaceae,Viola sororia,5404,Willd.,Viola,sororia,,,,,"Thomson, John W., Jr.",5430,1943-06-09,1943,6,9,160,1943-06-09,,"Low, wet, clay soil.",NA,Douglas,"Superior. Clough Ave. and 23rd St., Superior",46.71163,-92.09063,NA,120,46.711630 N, 92.090630 W,46.71163,-92.09063,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.71163,-92.09063,394,1,394,77718721.67,35378.21444,29,28,24914,2,49,14,W
395,SUWS011421,Equisetopsida,Malpighiales,Violaceae,Viola sororia,5404,Willd.,Viola,sororia,,,,,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Roadside in sand; near bog.,NA,Douglas,Patzau. 0.5 mile W State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.48986,-92.18414,395,1,395,92130815.8,38625.8977,71,70,24615,2,46,15,W
396,SUWS011423,Equisetopsida,Malpighiales,Violaceae,Viola sororia,5404,Willd.,Viola,sororia,,,,,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,"Roadside in sand, near bog.",NA,Douglas,Patzau. 0.5 mile W State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.48986,-92.18414,396,1,396,92130815.8,38625.8977,71,70,24615,2,46,15,W
397,SUWS011424,Equisetopsida,Malpighiales,Violaceae,Viola sororia,5404,Willd.,Viola,sororia,,,,,Brashier,s.n.,1965-06-10,1965,6,10,161,1965-06-10,,In forest path in virgin white pine forest; shaded.,NA,Bayfield,Drummond. 2.5 miles N of Drummond on Hwy 63,46.3456,-91.19926,NA,3287,46.345600 N, 91.199260 W,46.3456,-91.19926,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.3456,-91.19926,397,1,397,92482175.4,38459.07192,98,97,24507,2,45,7,W
398,SUWS011425,Equisetopsida,Malpighiales,Violaceae,Viola tricolor,5406,L.,Viola,tricolor,,,"Cochrane, Theodore S.",25Jan2010,Mackensen,s.n.,1966-07-26,1966,7,26,207,1966-07-26,,Very rich soil.,NA,Burnett,Nemakogen River area [Bayfield Co. - original in error],46.08287,-92.11127,NA,5000,46.082870 N, 92.111270 W,46.08287,-92.11127,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Mackensen; Brashier,Other Collectors,46.08287,-92.11127,398,1,398,93338567.59,38700.95219,156,155,24214,2,42,14,W
399,SUWS011426,Equisetopsida,Malpighiales,Violaceae,Viola sagittata var. sagittata,6947,,Viola,sagittata,sagittata,var.,"Cochrane, Theodore S.",25Jan2010,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Wet ditchside.,NA,Douglas,Superior. 5 miles S of Superior on Hwy 35,46.63637,-92.10374,NA,4228,46.636370 N, 92.103740 W,46.63637,-92.10374,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.63637,-92.10374,399,1,399,93354961.12,38691.86308,41,40,24814,2,48,14,W
400,SUWS011428,Equisetopsida,Malpighiales,Violaceae,Viola sagittata var. sagittata,6947,,Viola,sagittata,sagittata,var.,"Cochrane, Theodore S.",25Jan2010,Brashier,s.n.,1965-06-07,1965,6,7,158,1965-06-07,,Wet ditchside.,NA,Douglas,Superior. 5 miles S of Superior on Hwy 35,46.63637,-92.10374,NA,4228,46.636370 N, 92.103740 W,46.63637,-92.10374,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.63637,-92.10374,400,1,400,93354961.12,38691.86308,41,40,24814,2,48,14,W
401,SUWS011429,Equisetopsida,Malpighiales,Violaceae,Viola cucullata,5390,Aiton,Viola,cucullata,,,"Cochrane, Theodore S.",25Jan2010,Brashier,s.n.,1965-05-22,1965,5,22,142,1965-05-22,,"River bottom, clay soil. Collected 1 month after area was flooded.",NA,Douglas,"Superior. 3 miles S of Superior on State Hwy 35 on the Ralph Law property, near the Nemadji River",46.65497,-92.10442,NA,4161,46.654970 N, 92.104420 W,46.65497,-92.10442,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,Brashier; Romans,Brashier,46.65497,-92.10442,401,1,401,93354961.12,38691.86308,41,40,24814,2,48,14,W
402,SUWS011430,Equisetopsida,Malpighiales,Violaceae,Viola sagittata var. sagittata,6947,,Viola,sagittata,sagittata,var.,"Cochrane, Theodore S.",25Jan2010,Brashier,s.n.,1965-06-08,1965,6,8,159,1965-06-08,,"Open area in field, wet.",NA,Douglas,Superior. Wisconsin State University Forest [Don't think it exists anymore],46.46411,-91.8994,NA,45399,46.464110 N, 91.899400 W,46.46411,-91.8994,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Romans,Brashier,46.46411,-91.8994,402,1,402,92569109.44,38495.82171,75,74,24612,2,46,12,W
403,SUWS011431,Equisetopsida,Malpighiales,Violaceae,Viola renifolia,5400,A.Gray,Viola,renifolia,,,,,Brashier,s.n.,1965-05-20,1965,5,20,140,1965-05-20,,Wet soil near swamp; rich soil.,NA,Douglas,Patzau. 0.5 mile W of State Hwy 35 on CTH BB on the James Romans property [ca. 2mi E of Patzau],46.48986,-92.18414,NA,1517,46.489860 N, 92.184140 W,46.48986,-92.18414,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,Brashier; Romans,Brashier,46.48986,-92.18414,403,1,403,92130815.8,38625.8977,71,70,24615,2,46,15,W
404,SUWS011435,Equisetopsida,Cucurbitales,Cucurbitaceae,Echinocystis lobata,3466,(Michx.) Torr. & A.Gray,Echinocystis,lobata,,,,,"Castle, R.",93-354,1993-08-11,1993,8,11,223,1993-08-11,,"Roadside, growing on weeds. 6 petaled, greenish white flowers.",NA,Douglas,Maple. S of Maple 0.25 mile on CTH H,46.58604,-91.72074,NA,1337,46.586040 N, 91.720740 W,46.58604,-91.72074,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Castle, R.","Castle, R.",46.58604,-91.72074,404,1,404,92916091.48,38592.63057,58,57,24711,2,47,11,W
405,SUWS011437,Equisetopsida,Cucurbitales,Cucurbitaceae,Echinocystis lobata,3466,(Michx.) Torr. & A.Gray,Echinocystis,lobata,,,,,"Lunda, Judy",65,1977-09-18,1977,9,18,261,1977-09-18,,"Rich soil, open sun, along fence row.",NA,Bayfield,Ino. 12 miles W of Ashland on CTH G [near Ino],46.53645,-91.1534,NA,4066,46.536450 N, 91.153400 W,46.53645,-91.1534,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Lunda, Judy",Other Collectors,46.53645,-91.1534,405,1,405,91045971.18,38148.58463,64,63,24706,2,47,6,W
406,SUWS011442,Equisetopsida,Malpighiales,Salicaceae,Populus grandidentata,4609,Michx.,Populus,grandidentata,,,,,Brashier,PL-198,1964-07-23,1964,7,23,205,1964-07-23,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Walvoord,Brashier,46.34228,-91.34901,406,1,406,92054397.66,38461.88047,97,96,24508,2,45,8,W
407,SUWS011443,Equisetopsida,Malpighiales,Salicaceae,Populus grandidentata,4609,Michx.,Populus,grandidentata,,,,,Brashier,PL-200,1964-07-23,1964,7,23,205,1964-07-23,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Grage,Brashier,46.34228,-91.34901,407,1,407,92054397.66,38461.88047,97,96,24508,2,45,8,W
408,SUWS011448,Equisetopsida,Malpighiales,Salicaceae,Populus deltoides subsp. monilifera,6805,(Aiton) Eckenw.,Populus,deltoides,monilifera,subsp.,"Cochrane, Theodore S.",V/2002,"Castle, R.",93-94,1993-05-10,1993,5,10,130,1993-05-10,,"Planted on old farm, rich soils. Male flowers and a few female flowers present. Planted.",NA,Douglas,"CTH B, 3 miles E of Lake Nebagamon",46.51492,-91.6368,NA,1250,46.514920 N, 91.636800 W,46.51492,-91.6368,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Castle, R.","Castle, R.",46.51492,-91.6368,408,1,408,93017478.21,38599.04619,60,59,24710,2,47,10,W
409,SUWS011449,Equisetopsida,Malpighiales,Salicaceae,Populus deltoides subsp. monilifera,6805,(Aiton) Eckenw.,Populus,deltoides,monilifera,subsp.,,,"Demaske, D.",635,1974-05-30,1974,5,30,150,1974-05-30,,Open area.,NA,Trempealeau,"Perrot State Park, between railroad and cliff in open area on SW side of Trempealeau Mt.",44.01972,-91.48681,NA,500,44.019720 N, 91.486810 W,44.01972,-91.48681,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Demaske, D.",Other Collectors,44.01972,-91.48681,409,1,409,73836314.16,36152.24246,1177,1176,21809,2,18,9,W
410,SUWS011457,Equisetopsida,Malpighiales,Salicaceae,Populus balsamifera subsp. balsamifera,13230,L.,Populus,balsamifera,balsamifera,subsp.,,,"Suneson, Verna",11329,1934-07-13,1934,7,13,194,1934-07-13,,,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Suneson, Verna",Other Collectors,46.68122,-92.06631,410,1,410,77718721.67,35378.21444,29,28,24914,2,49,14,W
411,SUWS011458,Equisetopsida,Malpighiales,Salicaceae,Populus balsamifera subsp. balsamifera,13230,L.,Populus,balsamifera,balsamifera,subsp.,,,"Castle, R.",93-10,1993-05-01,1993,5,1,121,1993-05-01,,Low wet ground with aspen. Stamens collected on ground from 40 feet tall mature trees.,NA,Douglas,Allouez. Nemadji River and Hwy 2 [Allouez],46.69663,-92.03495,NA,1035,46.696630 N, 92.034950 W,46.69663,-92.03495,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Castle, R.","Castle, R.",46.69663,-92.03495,411,1,411,55863880.81,35086.16969,36,35,24913,2,49,13,W
412,SUWS011461,Equisetopsida,Malpighiales,Salicaceae,Populus alba,4606,L.,Populus,alba,,,,,"Micke, Brian",s.n.,1979-09-16,1979,9,16,259,1979-09-16,,[Planted?],NA,Douglas,Superior. Univ. of Wisconsin - Superior campus,46.71784,-92.08786,NA,699,46.717840 N, 92.087860 W,46.71784,-92.08786,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Micke, Brian",Other Collectors,46.71784,-92.08786,412,1,412,77718721.67,35378.21444,29,28,24914,2,49,14,W
413,SUWS011462,Equisetopsida,Malpighiales,Salicaceae,Populus alba,4606,L.,Populus,alba,,,"Cochrane, Theodore S.",V/2002,"Castle, R.",93-79,1993-05-08,1993,5,8,128,1993-05-08,,Clay soils. Planted.,NA,Douglas,Superior. Univ. of Wisconsin - Superior campus,46.71784,-92.08786,NA,699,46.717840 N, 92.087860 W,46.71784,-92.08786,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Castle, R.","Castle, R.",46.71784,-92.08786,413,1,413,77718721.67,35378.21444,29,28,24914,2,49,14,W
414,SUWS011463,Equisetopsida,Malpighiales,Salicaceae,Populus alba,4606,L.,Populus,alba,,,"Cochrane, Theodore S.",V/2002,"Hall, Norma",11389,1938-07-01,1938,7,1,182,1938-07-01,,"[Probably not wild, but a cultivated tree or root-sprout from a cultivated tree - T.S. Cochrane, 2002]",NA,Barron,Chetek,45.31413,-91.651,NA,3114,45.314130 N, 91.651000 W,45.31413,-91.651,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Hall, Norma",Other Collectors,45.31413,-91.651,414,1,414,93013778.76,38553.02336,520,519,23310,2,33,10,W
415,SUWS011468,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,Brashier,PL-203,1964-07-22,1964,7,22,204,1964-07-22,,,NA,Bayfield,Pigeon Lake Field Station [Douglas Co. - original in error],46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Smith,Brashier,46.34228,-91.34901,415,1,415,92054397.66,38461.88047,97,96,24508,2,45,8,W
416,SUWS011469,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,Brashier,PL-201,1964-07-23,1964,7,23,205,1964-07-23,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Valaskey,Brashier,46.34228,-91.34901,416,1,416,92054397.66,38461.88047,97,96,24508,2,45,8,W
417,SUWS011470,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,Brashier,PL-202,1964-07-17,1964,7,17,199,1964-07-17,,,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Brashier; Gunderson,Brashier,46.34228,-91.34901,417,1,417,92054397.66,38461.88047,97,96,24508,2,45,8,W
418,SUWS011477,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,"McGovern, Scott",92/11,1992-09-13,1992,9,13,257,1992-09-13,,"Found along roadside, sandy soil, in direct sun standing alone. 25 feet tall tree with smooth dark gray bark, simple leaves with oval shape.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"McGovern, Scott",Other Collectors,46.68122,-92.06631,418,1,418,77718721.67,35378.21444,29,28,24914,2,49,14,W
419,SUWS011478,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,"Munich, Robert A.",16/92,1992-10-01,1992,10,1,275,1992-10-01,,"Sandy soil, much grass present. About 20 feet tall, buds very fragrant and gummy.",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Munich, Robert A.",Other Collectors,46.68122,-92.06631,419,1,419,77718721.67,35378.21444,29,28,24914,2,49,14,W
420,SUWS011482,Equisetopsida,Caryophyllales,Caryophyllaceae,Cerastium fontanum subsp. vulgare,6572,(Hartm.) Greuter & Burdet,Cerastium,fontanum,vulgare,subsp.,,,Hjerleid,s.n.,1966-07-24,1966,7,24,205,1966-07-24,,Sandy open ground.,NA,Bayfield,NW side of Pigeon Lake,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,Hjerleid; Brashier,Other Collectors,46.34228,-91.34901,420,1,420,92054397.66,38461.88047,97,96,24508,2,45,8,W
421,SUWS011483,Equisetopsida,Malpighiales,Salicaceae,Populus tremuloides,4611,Michx.,Populus,tremuloides,,,,,"Castle, R.",93-62,1993-04-25,1993,4,25,115,1993-04-25,,"Field, with tag alder. Male flowers present.",NA,Douglas,"Superior. Univ. of Wisconsin - Superior campus, In parking lot near Wessman Arena",46.71784,-92.08786,NA,699,46.717840 N, 92.087860 W,46.71784,-92.08786,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,April,"Castle, R.","Castle, R.",46.71784,-92.08786,421,1,421,77718721.67,35378.21444,29,28,24914,2,49,14,W
422,SUWS011485,Equisetopsida,Malpighiales,Salicaceae,Populus nigra,4610,L.,Populus,nigra,,,"Cochrane, Theodore S.",25Nov2009,"Hall, Norma",11387,1938-07-10,1938,7,10,191,1938-07-10,,"[Some cultivated variety, lacking notes on or photo of habit - probably not growing ""wild"" - T.S. Cochrane, 2009]",NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Hall, Norma",Other Collectors,46.68122,-92.06631,422,1,422,77718721.67,35378.21444,29,28,24914,2,49,14,W
423,SUWS011486,Equisetopsida,Malpighiales,Salicaceae,Populus balsamifera subsp. balsamifera,13230,L.,Populus,balsamifera,balsamifera,subsp.,"Cochrane, Theodore S.",25Nov2009,"Hall, Norma",11335,1938-06-20,1938,6,20,171,1938-06-20,,,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,"Hall, Norma",Other Collectors,46.68122,-92.06631,423,1,423,77718721.67,35378.21444,29,28,24914,2,49,14,W
424,SUWS011493,Equisetopsida,Malpighiales,Salicaceae,Salix bebbiana,4944,Sarg.,Salix,bebbiana,,,,,"Thomson, John W., Jr.",5467,1943-08-15,1943,8,15,227,1943-08-15,,,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.68122,-92.06631,424,1,424,77718721.67,35378.21444,29,28,24914,2,49,14,W
425,SUWS011495,Equisetopsida,Malpighiales,Salicaceae,Salix eriocephala,4949,Michx.,Salix,eriocephala,,,,,"Thomson, John W., Jr.",5468,1943-08-15,1943,8,15,227,1943-08-15,,,NA,Douglas,Superior,46.68122,-92.06631,NA,12939,46.681220 N, 92.066310 W,46.68122,-92.06631,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Thomson, John W., Jr.","Thomson, John W., Jr.",46.68122,-92.06631,425,1,425,77718721.67,35378.21444,29,28,24914,2,49,14,W
426,SUWS011497,Equisetopsida,Malpighiales,Salicaceae,Salix discolor,4948,Muhl.,Salix,discolor,,,,,,s.n.,1942-04-22,1942,4,22,112,1942-04-22,,,NA,Douglas,Superior. UWS Campus [University of Wisconsin - Superior],46.71784,-92.08786,NA,699,46.717840 N, 92.087860 W,46.71784,-92.08786,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,April,,Other Collectors,46.71784,-92.08786,426,1,426,77718721.67,35378.21444,29,28,24914,2,49,14,W
427,SUWS011498,Equisetopsida,Malpighiales,Salicaceae,Salix discolor,4948,Muhl.,Salix,discolor,,,,,,s.n.,1942-04-22,1942,4,22,112,1942-04-22,,,NA,Douglas,Superior. UWS Campus [University of Wisconsin - Superior],46.71784,-92.08786,NA,699,46.717840 N, 92.087860 W,46.71784,-92.08786,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,April,,Other Collectors,46.71784,-92.08786,427,1,427,77718721.67,35378.21444,29,28,24914,2,49,14,W
428,SUWS011501,Equisetopsida,Malpighiales,Salicaceae,Salix discolor,4948,Muhl.,Salix,discolor,,,,,"Castle, R.",93-91,1993-05-10,1993,5,10,130,1993-05-10,,"In ditch, damp soil.",NA,Douglas,Near closed Lake Nebagamon dump,46.5102,-91.70372,NA,4603,46.510200 N, 91.703720 W,46.5102,-91.70372,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,May,"Castle, R.","Castle, R.",46.5102,-91.70372,428,1,428,92916091.48,38592.63057,58,57,24711,2,47,11,W
429,SUWS011502,Equisetopsida,Malpighiales,Salicaceae,Salix discolor,4948,Muhl.,Salix,discolor,,,,,"Charboneau, E.",C143E52,1980-08-05,1980,8,5,218,1980-08-05,,,NA,Douglas,"Lyman Lake bridge, on CTH C at flowage",46.45669,-91.98397,NA,1672,46.456690 N, 91.983970 W,46.45669,-91.98397,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,August,"Charboneau, E.",Other Collectors,46.45669,-91.98397,429,1,429,91217588.84,38217.38926,74,73,24613,2,46,13,W
430,SUWS011505,Equisetopsida,Malpighiales,Salicaceae,Salix exigua subsp. interior,11240,Nutt.,Salix,exigua,interior,subsp.,,,"Hansen, Perky",92/25,1992-10-01,1992,10,1,275,1992-10-01,,"Rocky, moist humus, dogwood nearby. 10 feet tall.",NA,Douglas,"Superior. Bayside, near road",46.69111,-91.91731,NA,29129,46.691110 N, 91.917310 W,46.69111,-91.91731,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Hansen, Perky",Other Collectors,46.69111,-91.91731,430,1,430,62591815.28,32306.39967,37,36,24912,2,49,12,W
431,SUWS011506,Equisetopsida,Malpighiales,Salicaceae,Salix petiolaris,4957,Sm.,Salix,petiolaris,,,"Cochrane, Theodore S.",27Jan2010,"Munich, Robert A.",31/92,1992-10-20,1992,10,20,294,1992-10-20,,"Wet humus, many grasses and poplars present, growing on the side of a field near a ravine. About 15 feet tall, many branches.",NA,Douglas,Superior. Billings Drive archery range,46.68211,-92.15082,NA,2995,46.682110 N, 92.150820 W,46.68211,-92.15082,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Munich, Robert A.",Other Collectors,46.68211,-92.15082,431,1,431,77718721.67,35378.21444,29,28,24914,2,49,14,W
