"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS010318","Manitowoc","Brashier"," Romans",""
"SUWS010319","Vernon","Sohmer, S. H.","",""
"SUWS010320","Richland","Koch, Rudy G.","",""
"SUWS010321","Douglas","Stackler, Susan","",""
"SUWS010322","La Crosse","Demaske, D.","",""
"SUWS010323","Douglas","Thomson, John W., Jr.","",""
"SUWS010324","Douglas","Thomson, John W., Jr.","",""
"SUWS010326","Bayfield","Brashier"," Valaskey",""
"SUWS010327","Douglas","Swanson, Denny","",""
"SUWS010328","Douglas","Koch, Rudy G.","",""
"SUWS010331","Richland","Koch, Rudy G.","",""
"SUWS010332","Bayfield","Koch, Rudy G.","",""
"SUWS010333","Bayfield","Koch, Rudy G.","",""
"SUWS010334","La Crosse","Brimmer, K.","",""
"SUWS010335","Dodge","Christian, John R.","",""
"SUWS010336","Douglas","Thomson, John W., Jr."," Jacobson, J. R.",""
"SUWS010337","Buffalo","La Liberte, Paul","",""
"SUWS010340","Dane","Anderson, Bruce P.","",""
"SUWS010341","Marinette","Koch, Rudy G.","",""
"SUWS010342","La Crosse","Nontelle, Deon M.","",""
"SUWS010347","Chippewa","Thomson, John W., Jr.","",""
"SUWS010348","La Crosse","Sohmer, S. H.","",""
"SUWS010350","La Crosse","Nontelle, Deon M.","",""
"SUWS010351","Juneau","Brashier"," Romans",""
"SUWS010355","Ashland","Koch, Rudy G.","",""
"SUWS010356","Vilas","Smith, W. A."," Pellett, T. D.",""
"SUWS010357","Bayfield","Koch, Rudy G.","",""
"SUWS010360","Bayfield","Sohmer, S. H.","",""
"SUWS010364","Douglas","Thomson, John W., Jr."," Smith, C. W.",""
"SUWS010365","Ashland","Koch, Rudy G.","",""
"SUWS010366","Bayfield","Koch, Rudy G.","",""
"SUWS010367","Ashland","Koch, Rudy G.","",""
"SUWS010368","Douglas","Koch, Rudy G.","",""
"SUWS010369","Monroe","Sohmer, S. H.","",""
"SUWS010370","Douglas","Anderson, Danette","",""
"SUWS010371","Douglas","Anderson, Danette","",""
"SUWS010372","Douglas","Anderson, Danette","",""
"SUWS010373","Douglas","Anderson, Danette","",""
"SUWS010374","Douglas","Anderson, Danette","",""
"SUWS010375","Douglas","Anderson, Danette","",""
"SUWS010376","Douglas","Anderson, Danette","",""
"SUWS010377","Douglas","Anderson, Danette","",""
"SUWS010378","Douglas","Anderson, Danette","",""
"SUWS010379","Douglas","Anderson, Danette","",""
"SUWS010380","Douglas","Anderson, Danette","",""
"SUWS010381","Douglas","Anderson, Danette","",""
"SUWS010382","Douglas","Anderson, Danette","",""
"SUWS010383","Douglas","Anderson, Danette","",""
"SUWS010384","Douglas","Anderson, Danette","",""
"SUWS010385","Douglas","Anderson, Danette","",""
"SUWS010386","Douglas","Anderson, Danette","",""
"SUWS010388","Douglas","Anderson, Danette","",""
"SUWS010389","Douglas","Anderson, Danette","",""
"SUWS010390","Douglas","Anderson, Danette","",""
"SUWS010424","Douglas","Munich, Robert A.","",""
"SUWS010425","Douglas","Kristiansen, Stein","",""
