OID,catalogNumber,N_latitude,W_longitude,N_latitude_D,W_longitude_D,DDLat,DDLon,TWP,RNG,DIR_ALPHA
310,SUWS011162,46.712530 N, 92.104440 W,46.71253,-92.10444,46.71253,-92.10444,49,14,W
311,SUWS011173,46.362590 N, 91.399820 W,46.36259,-91.39982,46.36259,-91.39982,45,8,W
312,SUWS011177,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
313,SUWS011181,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
314,SUWS011183,46.336860 N, 91.174090 W,46.33686,-91.17409,46.33686,-91.17409,45,6,W
315,SUWS011187,46.295540 N, 91.521410 W,46.29554,-91.52141,46.29554,-91.52141,44,9,W
316,SUWS011195,45.766880 N, 92.384590 W,45.76688,-92.38459,45.76688,-92.38459,38,16,W
317,SUWS011198,46.208010 N, 91.292130 W,46.20801,-91.29213,46.20801,-91.29213,43,7,W
318,SUWS011199,46.349520 N, 91.349010 W,46.34952,-91.34901,46.34952,-91.34901,45,8,W
319,SUWS011201,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
320,SUWS011202,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
321,SUWS011214,46.828150 N, 90.666940 W,46.82815,-90.66694,46.82815,-90.66694,50,2,W
322,SUWS011218,43.879880 N, 90.159230 W,43.87988,-90.15923,43.87988,-90.15923,16,3,E
323,SUWS011221,46.713450 N, 92.112320 W,46.71345,-92.11232,46.71345,-92.11232,49,14,W
324,SUWS011224,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
325,SUWS011225,45.696630 N, 90.400430 W,45.69663,-90.40043,45.69663,-90.40043,37,1,E
326,SUWS011229,46.235550 N, 91.257970 W,46.23555,-91.25797,46.23555,-91.25797,43,7,W
327,SUWS011238,46.732160 N, 92.066300 W,46.73216,-92.0663,46.73216,-92.0663,49,14,W
328,SUWS011239,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
329,SUWS011241,46.654970 N, 92.104420 W,46.65497,-92.10442,46.65497,-92.10442,48,14,W
330,SUWS011242,46.362590 N, 91.399820 W,46.36259,-91.39982,46.36259,-91.39982,45,8,W
331,SUWS011243,46.385120 N, 91.336900 W,46.38512,-91.3369,46.38512,-91.3369,45,8,W
332,SUWS011245,46.535290 N, 91.582110 W,46.53529,-91.58211,46.53529,-91.58211,47,10,W
333,SUWS011247,46.717840 N, 92.087860 W,46.71784,-92.08786,46.71784,-92.08786,49,14,W
334,SUWS011248,46.712310 N, 92.091360 W,46.71231,-92.09136,46.71231,-92.09136,49,14,W
335,SUWS011255,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
336,SUWS011257,46.489170 N, 91.554950 W,46.48917,-91.55495,46.48917,-91.55495,46,10,W
337,SUWS011259,46.522770 N, 91.567310 W,46.52277,-91.56731,46.52277,-91.56731,47,10,W
338,SUWS011263,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
339,SUWS011264,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
340,SUWS011265,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
341,SUWS011266,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
342,SUWS011267,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
343,SUWS011269,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
344,SUWS011271,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
345,SUWS011273,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
346,SUWS011277,46.717010 N, 92.093500 W,46.71701,-92.0935,46.71701,-92.0935,49,14,W
347,SUWS011281,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
348,SUWS011283,43.820450 N, 91.232200 W,43.82045,-91.2322,43.82045,-91.2322,16,7,W
349,SUWS011291,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
350,SUWS011292,46.302450 N, 91.221020 W,46.30245,-91.22102,46.30245,-91.22102,44,7,W
351,SUWS011294,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
352,SUWS011296,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
353,SUWS011297,46.724590 N, 92.091960 W,46.72459,-92.09196,46.72459,-92.09196,49,14,W
354,SUWS011300,46.681220 N, 92.066310 W,46.68122,-92.06631,46.68122,-92.06631,49,14,W
355,SUWS011301,46.705450 N, 92.104040 W,46.70545,-92.10404,46.70545,-92.10404,49,14,W
356,SUWS011302,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
357,SUWS011304,46.489860 N, 92.184140 W,46.48986,-92.18414,46.48986,-92.18414,46,15,W
358,SUWS011307,46.712310 N, 92.091360 W,46.71231,-92.09136,46.71231,-92.09136,49,14,W
