"catalogNumber","N_latitude","W_longitude"
"SUWS011763","46.342280 N"," 91.349010 W"
"SUWS011765","46.286410 N"," 91.227050 W"
"SUWS011766","46.542220 N"," 91.386700 W"
"SUWS011769","46.342280 N"," 91.349010 W"
"SUWS011770","46.342280 N"," 91.349010 W"
"SUWS011772","46.607550 N"," 91.899270 W"
"SUWS011775","46.717840 N"," 92.087860 W"
"SUWS011777","46.535290 N"," 91.582110 W"
"SUWS011779","46.681220 N"," 92.066310 W"
"SUWS011780","46.681220 N"," 92.066310 W"
"SUWS011781","46.342280 N"," 91.349010 W"
"SUWS011783","46.383670 N"," 91.308580 W"
"SUWS011788","46.681220 N"," 92.066310 W"
"SUWS011790","46.668030 N"," 92.103740 W"
"SUWS011794","46.554390 N"," 92.240190 W"
"SUWS011795","46.342280 N"," 91.349010 W"
"SUWS011797","46.330380 N"," 91.265010 W"
"SUWS011798","46.342260 N"," 91.411920 W"
"SUWS011799","46.681220 N"," 92.066310 W"
"SUWS011800","46.654970 N"," 92.104420 W"
"SUWS011803","46.342280 N"," 91.349010 W"
"SUWS011804","46.342280 N"," 91.349010 W"
"SUWS011805","46.403700 N"," 91.317130 W"
"SUWS011809","46.514930 N"," 91.657840 W"
