OBJECTID,TWP,RNG,DIR_ALPHA,Shape_Length,Shape_Area
973,29,9,E,59770.8087,-222007319.1
974,29,9,W,54290.51878,-184460457.8
975,29,10,E,54602.00389,-186650670.3
976,29,10,W,54496.33389,-185633539.6
977,29,11,E,54244.79824,-183446602.2
978,29,11,W,54503.75204,-185565253.1
979,29,12,E,53955.28391,-182482476.4
980,29,12,W,54364.94869,-184751231.9
981,29,13,E,54410.50151,-185685916.6
982,29,13,W,54070.10382,-183126206.1
983,29,14,E,54724.75897,-187335143.9
984,29,14,W,54273.67674,-183565018.1
985,29,15,E,55215.18668,-189328699.3
986,29,15,W,54562.01722,-186498007.9
987,29,16,E,54989.43022,-189167596.8
988,29,16,W,53533.26003,-179001915.9
989,29,17,E,54411.50373,-184777669.1
990,29,17,W,54378.5535,-184741667.3
991,29,18,E,54373.68472,-184895949.8
992,29,18,W,54481.93494,-185207371.4
993,29,19,E,54358.9927,-184731603.8
994,29,19,W,54422.05116,-185181940.3
995,29,20,E,53265.8632,-176805239.8
996,29,20,W,36339.71878,-56409221.25
997,29,21,E,53766.80041,-180422770.3
998,29,22,E,53460.23745,-178558545
999,29,23,E,55017.44588,-189947705.3
1000,29,24,E,52513.22882,-169593629.9
1001,29,25,E,53787.62161,-180805748.6
1002,29,26,E,55185.1621,-191038936.5
1003,29,27,E,55395.71838,-175401175
1004,29,28,E,13432.20032,-10171483.98
1005,29,99,E,26510.07752,-1565036.808
1006,30,1,E,54134.43568,-182819142.7
1007,30,1,W,54920.90562,-188666272.3
1008,30,2,E,53487.52351,-178898943
1009,30,2,W,54671.15055,-186608978.3
1010,30,3,E,53849.37011,-180924200.5
1011,30,3,W,54646.55932,-186774765.2
1012,30,4,E,53050.03995,-175493840.6
1013,30,4,W,55101.38221,-190282407.6
1014,30,5,E,54154.92205,-183396675
1015,30,5,W,54971.23075,-187890533.7
1016,30,6,E,53732.82339,-180240813.4
1017,30,6,W,54882.18451,-188158060.2
1018,30,7,E,53514.18012,-178645778.2
1019,30,7,W,54989.3078,-188858482.4
1020,30,8,E,53876.32873,-181582706.1
1021,30,8,W,54798.57115,-187764022.8
1022,30,9,E,60315.38545,-225693849.8
1023,30,9,W,55301.31605,-191217544.1
1024,30,10,E,55177.47486,-190603018
1025,30,10,W,55582.47336,-193024911.1
1026,30,11,E,55091.01987,-189885243.3
1027,30,11,W,55711.69738,-193751599.9
1028,30,12,E,54877.76037,-187486916.6
1029,30,12,W,55600.3747,-192479706
1030,30,13,E,55186.76546,-189962896.4
1031,30,13,W,55209.11683,-190732555.2
1032,30,14,E,55137.69911,-189495371.6
1033,30,14,W,55299.27604,-191122309.9
1034,30,15,E,55500.42466,-192587854.5
1035,30,15,W,55364.50808,-191378587.5
1036,30,16,E,55350.62182,-191374926.2
1037,30,16,W,53962.02656,-181706445.1
1038,30,17,E,54471.44989,-185499712.6
1039,30,17,W,54408.87942,-185023178.6
1040,30,18,E,54459.30007,-185533725
1041,30,18,W,54762.06897,-187367732.1
1042,30,19,E,54391.8544,-184743605
1043,30,19,W,54591.84314,-186377737.2
1044,30,20,E,53281.24354,-177507051.4
1045,30,20,W,45721.12792,-92207129.85
1046,30,21,E,54677.09585,-186367133.4
1047,30,22,E,54795.72533,-188061867.1
1048,30,23,E,54296.03544,-180565043.5
1049,30,24,E,52590.60201,-160858896
1050,30,25,E,53754.33553,-165305180.3
1051,30,26,E,54883.69248,-187664174.8
1052,30,27,E,54977.68901,-188775268.5
1053,30,28,E,54630.01521,-140388334.1
1054,31,1,E,58830.78938,-214663233.5
1055,31,1,W,54681.83844,-186084412.8
1056,31,2,E,54775.05128,-190234175.6
1057,31,2,W,54621.81312,-186410517
1058,31,3,E,55111.64627,-189325601.8
1059,31,3,W,54675.27253,-187257839.4
1060,31,4,E,55288.25972,-191666253.9
1061,31,4,W,54662.11862,-186726363.9
1062,31,5,E,54901.62749,-188217698.8
1063,31,5,W,54633.10136,-186791904
1064,31,6,E,55014.49001,-188946851.1
1065,31,6,W,54697.31575,-186873280.3
1066,31,7,E,54947.74207,-188554852.3
1067,31,7,W,54492.91537,-185418992.3
1068,31,8,E,54926.55836,-188484822.5
1069,31,8,W,54318.03574,-184311053.6
1070,31,9,E,54398.78583,-184069782.3
1071,31,9,W,54637.00677,-186827458.2
1072,31,10,E,54820.09493,-186342195.8
1073,31,10,W,54799.95875,-187430468.5
1074,31,11,E,55434.02702,-192442871.5
1075,31,11,W,54883.03079,-188837545.5
1076,31,12,E,54736.26612,-187142655.5
1077,31,12,W,54800.82936,-187547121.5
1078,31,13,E,54929.74343,-188553596.1
1079,31,13,W,54829.62926,-188126231.6
1080,31,14,E,55133.95056,-189714081.3
1081,31,14,W,55017.88716,-189072774.3
1082,31,15,E,55091.67825,-190564006
1083,31,15,W,55677.87722,-193767211.3
1084,31,16,E,54585.0098,-185968179.2
1085,31,16,W,54970.07549,-188983392
1086,31,17,E,55277.02851,-192250742.9
1087,31,17,W,54881.66026,-187915725.5
1088,31,18,E,54835.10014,-187983587.7
1089,31,18,W,54862.61798,-189010415.4
1090,31,19,E,54664.74483,-186869343.2
1091,31,19,W,54714.88837,-181723186.2
1092,31,20,E,54086.59908,-182627733.6
1093,31,21,E,54830.78543,-189795856.2
1094,31,22,E,52285.28309,-164662236
1095,31,23,E,23245.62227,-19364367.04
1096,31,25,E,36152.71212,-46985892.94
1097,31,26,E,54974.42886,-188837765.3
1098,31,27,E,54892.67537,-188845088.8
1099,31,28,E,55305.3347,-191130506.3
1100,32,1,E,58876.6052,-213698900.3
1101,32,1,W,54852.83729,-188229115.2
1102,32,2,E,55175.31875,-189083865
1103,32,2,W,54570.98385,-186035295.8
1104,32,3,E,54846.67419,-186877492.7
1105,32,3,W,54604.57936,-186485948.4
1106,32,4,E,55544.44031,-192812508.8
1107,32,4,W,54710.95165,-186513009.7
1108,32,5,E,55049.02466,-189425535.8
1109,32,5,W,54879.50981,-187561421.3
1110,32,6,E,55350.87274,-191869224.3
1111,32,6,W,54954.47386,-188927425.3
1112,32,7,E,55095.97166,-190059532.2
1113,32,7,W,54828.53887,-187353938.4
1114,32,8,E,55121.10671,-189659243.6
1115,32,8,W,54595.44751,-186348517.5
1116,32,9,E,54830.88987,-187353178.3
1117,32,9,W,54539.01438,-185429690.7
1118,32,10,E,55489.57581,-194873005.8
1119,32,10,W,54535.33314,-185440139.5
1120,32,11,E,56260.50713,-197344837.4
1121,32,11,W,54371.77736,-184365407
1122,32,12,E,55031.56203,-189654542.8
1123,32,12,W,54364.11458,-184836887.8
1124,32,13,E,55041.8168,-189912392.6
1125,32,13,W,54484.80751,-184657631.6
1126,32,14,E,54930.48673,-188803541.5
1127,32,14,W,54548.6345,-185427383.3
1128,32,15,E,55003.27811,-188909542.4
1129,32,15,W,55743.9549,-194894991.6
